code,kr-name,category-name
000,지정되지않음,
100,주거용,plotResidePclnd
110,단독,plotResidePclnd
120,연립,plotResidePclnd
130,다세대,plotResidePclnd
140,아파트,plotResidePclnd
150,주거나지,plotResidePclnd
160,주거기타,plotResidePclnd
200,상업.업무용,plotCmrcPclnd
210,상업용,plotCmrcPclnd
220,업무용,plotCmrcPclnd
230,상업나지,plotCmrcPclnd
240,상업기타,plotCmrcPclnd
300,주.상복합용,
310,주상용,
320,주상나지,
330,주상기타,
400,공업용,
410,공업용,
420,공업나지,
430,공업기타,
500,전,
510,전,
520,과수원,
530,전기타,
600,답,
610,답,
620,답기타,
700,임야,
710,조림,
720,자연림,
730,토지임야,
740,목장용지,
750,임야기타,
800,특수토지,
810,광천지,
820,광업용지,
830,염전,
831,양어장·양식장,
840,유원지,
841,야영장,
850,공원묘지,
860,골프장 회원제,
861,골프장 대중제,
862,골프장 간이,
870,스키장,
880,경마장,
881,승마장,
890,여객자동차터미널,
891,콘도미니엄,
892,공항,
893,고속도로휴게소,
894,매립지,
895,발전소,
899,특수기타,
900,공공용지등,
910,도로등,
920,하천등,
930,공원등,
940,운동장등,
950,주차장등,
960,위험시설,
970,유해.혐오시설,
990,기타,
